author,datasets_cited,num_datasets
"Guy E. Hawkins, James F. Cavanagh, Scott Brown, Mark Steyvers","ds003458,ds003474,ds003478,ds003490,ds005114",5
"Elizabeth L. Johnson, Julia W. Y. Kam, Athina Tzovara, Robert T. Knight",ds003374,1
"Manuela Costa, Diego Lozano‐Soldevilla, António Gil‐Nagel, Rafael Toledano, Carina R. Oehrn, Lukas Kunz, Mar Yebra, Constantino Méndez‐Bértolo, Lennart Stieglitz, Johannes Sarnthein, Nikolai Axmacher, Stephan Moratti, Bryan A. Strange",ds003374,1
"Christian Lopez Ramos, Hao Tan, Erin Yamamoto, Daniel R. Cleary, David J. Mazur-Hart, Maryam N. Shahin, Ahmed M. Raslan",ds003374,1
"Ece Boran, Lennart Stieglitz, Johannes Sarnthein","ds003374,ds004944",2
"Athina Tzovara, Tommaso Fedele, Johannes Sarnthein, Debora Ledergerber, Jack J. Lin, Robert T. Knight","ds003374,ds004752",2
"Qin Yin, Elizabeth L. Johnson, Noa Ofen","ds003374,ds004080",2
"Xiaopeng Si, Dong Huang, Yulin Sun, Dong Ming",ds003374,1
"Sai Sun, Runnan Cao, Ueli Rutishauser, Rongjun Yu, Shuo Wang",ds003374,1
"Dustin Fetterhoff, Manuela Costa, Robin Hellerstedt, Rebecca Johannessen, Lukas Imbach, Johannes Sarnthein, Bryan A. Strange",ds003374,1
"Biao Han, Lu Shen, Qi Chen",ds003374,1
"Salman E. Qasim, Lukas Kunz",ds003374,1
"Colleen Mills‐Finnerty, Catherine Hanson, Mohannad Khadr, Stephen José Hanson",ds003374,1
"Riccardo Cusinato, Andrea Seiler, Kaspar Schindler, Athina Tzovara",ds003374,1
"Laurent Sheybani, Yichen Qiu, Prince Kumar Singh, Umesh Vivekananda, Neil Burgess, Beate Diehl, A McEvoy, Anna Miserocchi, James A. Bisby, Tawfeeq Shekh‐Ahmad, Gabriele Lignani, Daniel Bush, Matthew C Walker",ds003374,1
"Alicia Nunez Vorobiova, Matteo Feurra, Enea Francesco Pavone, Lennart Stieglitz, Lukas Imbach, Victoria Moiseeva, Johannes Sarnthein, Tommaso Fedele",ds003374,1
"Johannes Sarnthein, Lukas Imbach","ds003374,ds004752",2
"Robin Hellerstedt, Manuela Costa, Dominic Giles, Diana Ortega‐Cruz, Alba Peris-Yague, Lukas Imbach, Johannes Sarnthein, Debora Ledergerber, Philip Grewe, Johanna Kißler, Friedrich G. Woermann, Christian G. Bien, António Gil‐Nagel, Rafael Toledano, Bryan A. Strange",ds003374,1
"Sigurd L. Alnes, Ellen van Maren, Camille G. Mignardot, Ida Boccalaro, Thea Waldleben, Debora Ledergerber, Lennart Stieglitz, Markus Schmidt, Antoine Adamantidis, Lukas Imbach, Kaspar Schindler, Maxime O. Baud, Athina Tzovara",ds003374,1
Alicia Nunez Vorobiova,ds003374,1
"Cárdenas Molano, Melissa Andrea Netsash",ds003374,1
"Casey Adam, Shatha J. Mufti, Jhon Martinez, Edmond A. Rogers, Martina Dalolio, Nikita Krishnan, Timothy Beauclair, Riyi Shi",ds003374,1
"Tetsuya Iidaka, Satoshi Maesawa, Noriaki Kanayama, Makoto Miyakoshi, Tomotaka Ishizaki, Ryuta Saito",ds003374,1
"Rémi Gau, Uta Noppeney","ds000248,ds003392",2
"Brian Mathias, Katharina von Kriegstein",ds003392,1
"Collins Opoku-Baah, Adriana M. Schoenhaut, Sarah G. Vassall, David A. Tovar, Ramnarayan Ramachandran, Mark T. Wallace",ds003392,1
"Daria La Rocca, Nicolas Zilber, Patrice Abry, Virginie van Wassenhove, Philippe Ciuciu","ds000248,ds003392",2
"Matthew A. De Niear, Jean‐Paul Noel, Mark T. Wallace",ds003392,1
