dataset_id,dataset_name,total_citations,cumulative_citations,high_confidence_citations,avg_confidence,total_citation_impact,max_single_citation_impact,citation_years_list
ds000246,ds000246,1,123,1,0.6995742082595826,123,123.0,[2018]
ds002338,ds002338,12,113,12,0.7630473521972698,113,36.0,"[2024, 2020, 2020, 2019, 2018, 2023, 2024, 2021, 2021, 2024, 2022, 2020]"
ds004100,ds004100,24,107,23,0.7005145465031913,106,63.0,"[2024, 2024, 2025, 2024, 2024, 2024, 2024, 2023, 2024, 2024, 2025, 2023, 2023, 2023, 2024, 2024, 0, 2025, 2024, 2025, 2025, 2024, 2025]"
ds003078,ds003078,1,89,1,0.4288115501403809,89,89.0,[2020]
ds002761,ds002761,1,86,1,0.5966068562865258,86,86.0,[2020]
ds002799,ds002799,11,86,11,0.6402810055017473,86,33.0,"[2023, 2021, 2022, 2021, 2023, 2020, 2023, 2024, 2020, 2025, 2024]"
ds001787,ds001787,9,79,8,0.6141321950033307,75,61.0,"[2020, 2022, 2023, 2023, 2024, 2025, 2024, 0]"
ds003620,ds003620,4,79,4,0.6796054838597776,79,49.0,"[2021, 2022, 2023, 2021]"
ds005095,ds005095,7,75,1,0.48338547527790077,0,0.0,[2024]
ds003825,ds003825,3,69,3,0.7624135759472848,69,68.0,"[2022, 2021, 2025]"
ds003751,ds003751,7,69,7,0.7082549746334554,69,21.0,"[0, 2021, 2023, 2021, 2022, 2024, 2022]"
ds003768,ds003768,21,67,17,0.5848127481779632,52,17.0,"[0, 2024, 2023, 2022, 2024, 0, 0, 2024, 2024, 2022, 2025, 2024, 2024, 0, 2023, 2024, 2024]"
ds003082,ds003082,5,63,4,0.6157659818977118,14,9.0,"[2021, 2023, 2021, 2021]"
ds004078,ds004078,6,62,6,0.6493284130096437,62,26.0,"[2022, 2024, 2022, 2025, 2023, 2025]"
